《中東》  【年別】　（単位：千円） ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDDLE EAST  Calender Year Data  (a thousand yen) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years,Exp-Total,Imp-Total,Exp-133,Imp-133,Exp-134,Imp-134,Exp-135,Imp-135,Exp-136,Imp-136,Exp-137,Imp-137,Exp-138,Imp-138,Exp-140,Imp-140,Exp-141,Imp-141,Exp-142,Imp-142,Exp-143,Imp-143,Exp-144,Imp-144,Exp-145,Imp-145,Exp-146,Imp-146,Exp-147,Imp-147,Exp-148,Imp-148,Exp-149,Imp-149,Exp-158,Imp-158
,,,IRAN,IRAN,IRAQ,IRAQ,BAHRAIN,BAHRAIN,P YEMEN,P YEMEN,SU ARAB,SU ARAB,KUWAIT,KUWAIT,QATAR,QATAR,OMAN,OMAN,YEMEN,YEMEN,ISRAEL,ISRAEL,JORDAN,JORDAN,SYRIA,SYRIA,LEBANON,LEBANON,U ARB E,U ARB E,GAZA,GAZA,YEMEN,YEMEN,W B G S,W B G S
2011 ,1955450198 ,12832284999 ,136103282 ,1027380442 ,27213251 ,296887224 ,37303096 ,57374342 ,0 ,0 ,517243455 ,4025782885 ,107371858 ,1044214645 ,81078450 ,2395410094 ,222644511 ,409686216 ,0 ,0 ,173630145 ,86095843 ,19504890 ,5478089 ,16114461 ,17848220 ,14421823 ,2139381 ,592257737 ,3413091990 ,0 ,0 ,10429219 ,50891757 ,134020 ,3871 
2012 ,2261812805 ,13542205746 ,52094885 ,635520654 ,28620314 ,223683663 ,64504848 ,37958641 ,0 ,0 ,656800630 ,4376004843 ,150164925 ,1218081482 ,120028928 ,2863101296 ,285907808 ,547522003 ,0 ,0 ,114132633 ,93996981 ,22483323 ,4754326 ,9036291 ,212217 ,18127298 ,1786073 ,715557582 ,3509546843 ,0 ,0 ,23831728 ,30034595 ,521612 ,2129 
2013 ,2477789799 ,15667485760 ,16381072 ,676048288 ,71809846 ,253529368 ,74364003 ,38665742 ,0 ,0 ,668224838 ,4863270439 ,183609163 ,1312031188 ,127800990 ,3604422711 ,305152460 ,549255492 ,0 ,0 ,107914775 ,149326909 ,29116610 ,7103436 ,728507 ,181888 ,26785660 ,3572714 ,830234831 ,4147808494 ,0 ,0 ,35572370 ,62256577 ,94674 ,12514 
2014 ,2987527497 ,15825963827 ,26582054 ,653397911 ,61291038 ,163153023 ,90626752 ,58933188 ,0 ,0 ,804930133 ,5015279302 ,201389564 ,1304835222 ,164264092 ,3537500401 ,373729750 ,411943995 ,0 ,0 ,117032324 ,182826843 ,51907898 ,5675079 ,1079320 ,139846 ,38578032 ,3311244 ,1009579683 ,4399772279 ,0 ,0 ,46352328 ,89151744 ,184529 ,43750 
2015 ,3167023100 ,9571335816 ,34774429 ,393410290 ,60963667 ,120656036 ,107329309 ,39135272 ,0 ,0 ,825999129 ,3035272654 ,225709469 ,775938952 ,187053689 ,1973693942 ,389673090 ,182324708 ,0 ,0 ,141472324 ,182571909 ,69984323 ,3675006 ,1115957 ,95455 ,56909160 ,1926290 ,1052107341 ,2846243575 ,0 ,0 ,13744679 ,16326673 ,186534 ,65054 
2016 ,2584593915 ,6501061083 ,63164830 ,362048353 ,37555813 ,118042514 ,81460843 ,29787607 ,0 ,0 ,546305309 ,2124872210 ,184255849 ,460459381 ,167166315 ,1185356526 ,277157495 ,191179207 ,0 ,0 ,214182709 ,141570333 ,68713298 ,3984842 ,2474032 ,98054 ,60899780 ,2905798 ,868355427 ,1880238666 ,0 ,0 ,12605495 ,450922 ,296720 ,66670 
2017 ,2349914817 ,8242547239 ,98467802 ,400866222 ,31965235 ,113267031 ,76155808 ,42487673 ,0 ,0 ,418935380 ,3114953564 ,159979372 ,663509161 ,133457260 ,1233286922 ,261197252 ,210453720 ,0 ,0 ,216060150 ,126651003 ,61295502 ,5355200 ,1870049 ,61505 ,71664073 ,2451468 ,809606383 ,2328821434 ,0 ,0 ,9012239 ,327147 ,248312 ,55189 
2018 ,2433812268 ,10375067966 ,76957986 ,381068367 ,39692795 ,144781840 ,71069990 ,137153779 ,0 ,0 ,454138276 ,3732948329 ,195387257 ,800651122 ,156740874 ,1641998934 ,223981686 ,322732794 ,0 ,0 ,238734989 ,154880620 ,47102802 ,5623390 ,2289101 ,58567 ,34803657 ,1835435 ,871734451 ,3046282430 ,0 ,0 ,20881163 ,4993336 ,297241 ,59023 
2019 ,2356436688 ,8851500007 ,7245797 ,126925376 ,81890037 ,104628269 ,67688537 ,127720675 ,0 ,0 ,556698875 ,3015801619 ,187230955 ,750788381 ,122203982 ,1433437193 ,230722317 ,298061246 ,0 ,0 ,181632074 ,132658414 ,55198661 ,3860116 ,1564944 ,50015 ,49554813 ,1576770 ,782679029 ,2855514550 ,0 ,0 ,31659887 ,426161 ,466780 ,51222 
2020 ,1808566652 ,5558370295 ,8561006 ,3617933 ,39191247 ,19333974 ,63616804 ,52819989 ,0 ,0 ,452595986 ,1969648760 ,150438090 ,487031670 ,108601882 ,980736491 ,137807440 ,156639124 ,0 ,0 ,161553915 ,131745380 ,60269927 ,3320880 ,972202 ,49811 ,10852417 ,2471404 ,593254725 ,1750217862 ,0 ,0 ,20496212 ,692018 ,354799 ,44999 
2021 ,2052219044 ,8471029607 ,7687101 ,4177920 ,46606488 ,25195374 ,57199641 ,134558167 ,0 ,0 ,488938294 ,3019350982 ,161847785 ,727317907 ,101143873 ,1276967083 ,128927146 ,155781999 ,0 ,0 ,188436749 ,142217933 ,48399406 ,5185591 ,775221 ,52719 ,17924691 ,1504096 ,771682876 ,2977971081 ,0 ,0 ,32356069 ,698266 ,293704 ,50489 
2022 ,2781507021 ,15607834088 ,6558558 ,4625739 ,80271918 ,41106 ,60453689 ,174364748 ,0 ,0 ,667791836 ,5647162611 ,208216723 ,1323086493 ,163994603 ,1780248124 ,159169331 ,414230492 ,0 ,0 ,194567606 ,168555919 ,67724060 ,21595476 ,496324 ,78975 ,22727355 ,350607 ,1115528891 ,6072322235 ,0 ,0 ,33642180 ,1121780 ,363947 ,49783 
2023 ,3551805955 ,13328316041 ,9062290 ,4335633 ,119022680 ,4067906 ,89428928 ,107560923 ,0 ,0 ,892422260 ,4872987864 ,273312162 ,1282018508 ,197237271 ,1289065401 ,171288886 ,349869283 ,0 ,0 ,182402938 ,211476594 ,69478677 ,12632049 ,488632 ,61781 ,46398887 ,832181 ,1466149107 ,5192557238 ,0 ,0 ,34590233 ,818663 ,523004 ,32017 
2024 ,4191823680 ,12974936498 ,13387143 ,4377807 ,135801092 ,2613484 ,91201281 ,64263961 ,0 ,0 ,917769779 ,4516057309 ,276047980 ,1117774353 ,248171691 ,1076522983 ,203749096 ,385440779 ,0 ,0 ,215257518 ,218302382 ,73893925 ,10254100 ,589351 ,69453 ,48044011 ,1020927 ,1926258996 ,5577598253 ,0 ,0 ,41382401 ,583985 ,269416 ,56722 
2025 ,4635760710 ,11539772029 ,9649859 ,3420852 ,168774898 ,16719184 ,99984273 ,76618526 ,0 ,0 ,1065646765 ,3934875834 ,338181055 ,886262847 ,228807677 ,1080474808 ,211471889 ,365288440 ,0 ,0 ,193156585 ,250649876 ,86347180 ,14385878 ,1638588 ,101153 ,54716179 ,934808 ,2119203598 ,4909500911 ,0 ,0 ,57951069 ,474848 ,231095 ,64064 
