year,series_id,label,value,unit,frequency,geography,industry_code,industry_name,measure,source_id
2019,iip_production_1101200000,非鉄金属工業・生産,110.2,index_2020_100,calendar_year,Japan,1101200000,非鉄金属工業,production,industry-iip-annual-20260914
2020,iip_production_1101200000,非鉄金属工業・生産,100.0,index_2020_100,calendar_year,Japan,1101200000,非鉄金属工業,production,industry-iip-annual-20260914
2021,iip_production_1101200000,非鉄金属工業・生産,107.3,index_2020_100,calendar_year,Japan,1101200000,非鉄金属工業,production,industry-iip-annual-20260914
2022,iip_production_1101200000,非鉄金属工業・生産,106.2,index_2020_100,calendar_year,Japan,1101200000,非鉄金属工業,production,industry-iip-annual-20260914
2023,iip_production_1101200000,非鉄金属工業・生産,102.2,index_2020_100,calendar_year,Japan,1101200000,非鉄金属工業,production,industry-iip-annual-20260914
2024,iip_production_1101200000,非鉄金属工業・生産,101.6,index_2020_100,calendar_year,Japan,1101200000,非鉄金属工業,production,industry-iip-annual-20260914
2025,iip_production_1101200000,非鉄金属工業・生産,99.9,index_2020_100,calendar_year,Japan,1101200000,非鉄金属工業,production,industry-iip-annual-20260914
2018,iip_production_1101201000,非鉄金属精錬・精製品・生産,106.0,index_2020_100,calendar_year,Japan,1101201000,非鉄金属精錬・精製品,production,industry-iip-annual-20260914
2019,iip_production_1101201000,非鉄金属精錬・精製品・生産,99.3,index_2020_100,calendar_year,Japan,1101201000,非鉄金属精錬・精製品,production,industry-iip-annual-20260914
2020,iip_production_1101201000,非鉄金属精錬・精製品・生産,100.0,index_2020_100,calendar_year,Japan,1101201000,非鉄金属精錬・精製品,production,industry-iip-annual-20260914
2021,iip_production_1101201000,非鉄金属精錬・精製品・生産,98.7,index_2020_100,calendar_year,Japan,1101201000,非鉄金属精錬・精製品,production,industry-iip-annual-20260914
2022,iip_production_1101201000,非鉄金属精錬・精製品・生産,101.3,index_2020_100,calendar_year,Japan,1101201000,非鉄金属精錬・精製品,production,industry-iip-annual-20260914
2023,iip_production_1101201000,非鉄金属精錬・精製品・生産,94.9,index_2020_100,calendar_year,Japan,1101201000,非鉄金属精錬・精製品,production,industry-iip-annual-20260914
2024,iip_production_1101201000,非鉄金属精錬・精製品・生産,98.2,index_2020_100,calendar_year,Japan,1101201000,非鉄金属精錬・精製品,production,industry-iip-annual-20260914
2025,iip_production_1101201000,非鉄金属精錬・精製品・生産,87.0,index_2020_100,calendar_year,Japan,1101201000,非鉄金属精錬・精製品,production,industry-iip-annual-20260914
2018,iip_production_1101202000,非鉄金属圧延製品・生産,120.4,index_2020_100,calendar_year,Japan,1101202000,非鉄金属圧延製品,production,industry-iip-annual-20260914
2019,iip_production_1101202000,非鉄金属圧延製品・生産,112.6,index_2020_100,calendar_year,Japan,1101202000,非鉄金属圧延製品,production,industry-iip-annual-20260914
2020,iip_production_1101202000,非鉄金属圧延製品・生産,100.0,index_2020_100,calendar_year,Japan,1101202000,非鉄金属圧延製品,production,industry-iip-annual-20260914
2021,iip_production_1101202000,非鉄金属圧延製品・生産,114.1,index_2020_100,calendar_year,Japan,1101202000,非鉄金属圧延製品,production,industry-iip-annual-20260914
2022,iip_production_1101202000,非鉄金属圧延製品・生産,109.5,index_2020_100,calendar_year,Japan,1101202000,非鉄金属圧延製品,production,industry-iip-annual-20260914
2023,iip_production_1101202000,非鉄金属圧延製品・生産,98.7,index_2020_100,calendar_year,Japan,1101202000,非鉄金属圧延製品,production,industry-iip-annual-20260914
2024,iip_production_1101202000,非鉄金属圧延製品・生産,97.2,index_2020_100,calendar_year,Japan,1101202000,非鉄金属圧延製品,production,industry-iip-annual-20260914
2025,iip_production_1101202000,非鉄金属圧延製品・生産,97.5,index_2020_100,calendar_year,Japan,1101202000,非鉄金属圧延製品,production,industry-iip-annual-20260914
2018,iip_production_1101203000,電線・ケーブル・生産,107.7,index_2020_100,calendar_year,Japan,1101203000,電線・ケーブル,production,industry-iip-annual-20260914
2019,iip_production_1101203000,電線・ケーブル・生産,105.3,index_2020_100,calendar_year,Japan,1101203000,電線・ケーブル,production,industry-iip-annual-20260914
2020,iip_production_1101203000,電線・ケーブル・生産,100.0,index_2020_100,calendar_year,Japan,1101203000,電線・ケーブル,production,industry-iip-annual-20260914
2021,iip_production_1101203000,電線・ケーブル・生産,111.0,index_2020_100,calendar_year,Japan,1101203000,電線・ケーブル,production,industry-iip-annual-20260914
2022,iip_production_1101203000,電線・ケーブル・生産,111.5,index_2020_100,calendar_year,Japan,1101203000,電線・ケーブル,production,industry-iip-annual-20260914
2023,iip_production_1101203000,電線・ケーブル・生産,103.8,index_2020_100,calendar_year,Japan,1101203000,電線・ケーブル,production,industry-iip-annual-20260914
2024,iip_production_1101203000,電線・ケーブル・生産,107.4,index_2020_100,calendar_year,Japan,1101203000,電線・ケーブル,production,industry-iip-annual-20260914
2025,iip_production_1101203000,電線・ケーブル・生産,120.7,index_2020_100,calendar_year,Japan,1101203000,電線・ケーブル,production,industry-iip-annual-20260914
2018,iip_production_1101204000,非鉄金属鋳物・生産,129.3,index_2020_100,calendar_year,Japan,1101204000,非鉄金属鋳物,production,industry-iip-annual-20260914
2019,iip_production_1101204000,非鉄金属鋳物・生産,123.5,index_2020_100,calendar_year,Japan,1101204000,非鉄金属鋳物,production,industry-iip-annual-20260914
2020,iip_production_1101204000,非鉄金属鋳物・生産,100.0,index_2020_100,calendar_year,Japan,1101204000,非鉄金属鋳物,production,industry-iip-annual-20260914
2021,iip_production_1101204000,非鉄金属鋳物・生産,109.5,index_2020_100,calendar_year,Japan,1101204000,非鉄金属鋳物,production,industry-iip-annual-20260914
2022,iip_production_1101204000,非鉄金属鋳物・生産,106.3,index_2020_100,calendar_year,Japan,1101204000,非鉄金属鋳物,production,industry-iip-annual-20260914
2023,iip_production_1101204000,非鉄金属鋳物・生産,113.5,index_2020_100,calendar_year,Japan,1101204000,非鉄金属鋳物,production,industry-iip-annual-20260914
2024,iip_production_1101204000,非鉄金属鋳物・生産,107.0,index_2020_100,calendar_year,Japan,1101204000,非鉄金属鋳物,production,industry-iip-annual-20260914
2025,iip_production_1101204000,非鉄金属鋳物・生産,106.9,index_2020_100,calendar_year,Japan,1101204000,非鉄金属鋳物,production,industry-iip-annual-20260914
2018,iip_production_1102000000,金属製品工業・生産,114.5,index_2020_100,calendar_year,Japan,1102000000,金属製品工業,production,industry-iip-annual-20260914
2019,iip_production_1102000000,金属製品工業・生産,112.7,index_2020_100,calendar_year,Japan,1102000000,金属製品工業,production,industry-iip-annual-20260914
2020,iip_production_1102000000,金属製品工業・生産,100.0,index_2020_100,calendar_year,Japan,1102000000,金属製品工業,production,industry-iip-annual-20260914
2021,iip_production_1102000000,金属製品工業・生産,103.5,index_2020_100,calendar_year,Japan,1102000000,金属製品工業,production,industry-iip-annual-20260914
2022,iip_production_1102000000,金属製品工業・生産,103.0,index_2020_100,calendar_year,Japan,1102000000,金属製品工業,production,industry-iip-annual-20260914
2023,iip_production_1102000000,金属製品工業・生産,99.2,index_2020_100,calendar_year,Japan,1102000000,金属製品工業,production,industry-iip-annual-20260914
